"filename", "language", "Groovy", "Batch", "Properties", "JSON", "XML", "Java", "Markdown", "comment", "blank", "total"
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\java\com\arshsaxena\github\io\MyFirebaseMessagingService.java", "Java", 0, 0, 0, 0, 0, 32, 0, 1, 8, 41
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 30
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 74, 0, 0, 0, 1, 75
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\mipmap-anydpi-v26\notifictaion_icon.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\mipmap-anydpi-v26\notifictaion_icon_round.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\values-night\themes.xml", "XML", 0, 0, 0, 0, 11, 0, 0, 5, 0, 16
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\values\notifictaion_icon_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 11, 0, 0, 5, 0, 16
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\app\src\test\java\com\arshsaxena\github\io\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 0, 9, 0, 5, 3, 17
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\build.gradle", "Groovy", 19, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\gradle.properties", "Properties", 0, 0, 3, 0, 0, 0, 0, 16, 0, 19
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\gradlew.bat", "Batch", 0, 61, 0, 0, 0, 0, 0, 0, 24, 85
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\app-backup\ArshSaxena-App\settings.gradle", "Groovy", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 58, 61, 8, 57, 276, 132, 2, 42, 69, 705
